"id","textDisplay","authorDisplayName","publishedAt"
"UgyHj8Eqs_b5de8nn-l4AaABAg","Yes in my own wired way","@Scott_jonathan","2024-02-20T10:30:51Z"
"Ugx7N-2kluHFWmz6mxp4AaABAg","My youtube channel is for me to practice English","@supertini1","2024-02-17T16:39:34Z"
"UgxnNaFX__jLijrOJxV4AaABAg","I&#39;m from Belarus!!! :-)","@happy_girl4292","2024-02-15T10:20:49Z"
"UgyW1yS8ePwG2CH1gsB4AaABAg","I&#39;m from Uzbekistan 😊","@user-pe7br1bi2h","2024-02-14T16:41:35Z"
"UgzducRdScqX_qef9TF4AaABAg","Good work,as usual ❤","@MahadIsmail-lp3ou","2024-02-13T20:10:35Z"
"UgwaWn04fvmoqmk2kHB4AaABAg","How can understand what do you really something  want ?","@ilyinkonstantin","2024-02-13T17:02:47Z"
"Ugz4-OI53vEgRfBuEL94AaABAg","I want to be a flight attendant when I was young, unfortunately I ended up as a house maid","@elizabetharmada5335","2024-02-13T08:37:22Z"
"Ugw3PuNpvs2Y-DTn0Wh4AaABAg","I&#39;m from India 🇮🇳🇮🇳","@Anshul_prasad","2024-02-12T07:37:55Z"
"UgyATrYL8tWku6oQFsl4AaABAg","Any Arab person to practice English with me ?","@Tplink-mg7iy","2024-02-11T14:12:29Z"
"UgwAMEtKDounmJvVGxd4AaABAg","I am felling very happy because I am learning a lot with these videos. 
<br>Thank you for that. 💚","@erikaferreira4970","2024-02-11T03:12:46Z"
"Ugy-phF8ImPbdAXRpuN4AaABAg","I&#39;m from Myanmar 🇲🇲","@khuban","2024-02-09T04:15:43Z"
"UgzdvnNCWyF__V2KF-B4AaABAg","I&#39;m from Brazil","@vivianealmeida3352","2024-02-07T20:02:24Z"
"UgzSXd2Xc3dbAibQuyd4AaABAg","I am from uzbekistan❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤✋✋✋","@user-go8mb3lk9c","2024-02-06T15:32:00Z"
"Ugwp8t-c2dxk8I2XZBd4AaABAg","I am from Uzbekistan 🇺🇿","@user-ng8or3zt9u","2024-02-04T04:45:23Z"
"Ugwc2JflZgDLRaLcNFd4AaABAg","Brasil 🇧🇷🇧🇷","@fernandovinicius1390","2024-02-04T02:12:40Z"
"Ugym3_6ecwEGMQmSv7J4AaABAg","From Uzbekistan good luck BBC.","@maqsudjonisomiddinov5083","2024-02-03T15:34:42Z"
"UgzD5nl8Lbw-BrtioDV4AaABAg","I’m here from International school in Uzbekistan 😂","@Lollololol501","2024-02-03T13:27:15Z"
